id,created,cus_mail,cus_name,cus_mobi,course_mode_id,course_schedule,payment_amount,payment_status,cus_pic_id,lead_source,payment_date,payment_method,total_fee,lead_id,actually_received,original_fee,cus_location_id
485,2022-01-02 10:28:10,thomashill@example.com,Norma Fisher,715-829-1898,3,012021,1500000,Fully-paid,1593,FB,2022-01-02 00:00:00,FB,1500000,,1500000,,2
486,2022-01-02 17:30:19,elliottveronica@example.net,Nicholas Nolan,001-650-531-2795x6441,,012021,9000000,Fully-paid,1488,OT,2022-01-02 00:00:00,FB,9000000,,9000000,,1
487,2022-01-03 16:33:09,kimberly01@example.org,Mary Smith,+1-263-253-0184x042,2,012021,8500000,Fully-paid,919,GL,2022-01-03 00:00:00,FB,8500000,,8500000,,5
488,2022-01-04 13:53:28,tmoore@example.com,Kimberly Olsen,(237)212-1404,2,012021,8500000,Fully-paid,919,FB,2022-01-04 00:00:00,FB,8500000,,8500000,,5
489,2022-01-04 14:02:53,elizabethluna@example.com,William Green,945.879.9604,3,012021,14000000,Fully-paid,55,GL,2021-12-15 00:00:00,FB,14000000,,14000000,,1
490,2022-01-04 17:40:17,michaelturner@example.net,Joanne Keller,001-224-965-8707x920,3,012021,3000000,Fully-paid,55,WOM,2022-01-04 00:00:00,FB,3000000,,3000000,,1
491,2022-01-05 13:43:47,smithamber@example.org,Ashlee Thomas,(228)256-0326x3735,3,022021,3000000,Deposit,55,GL,2022-01-05 00:00:00,FB,4000000,,3000000,,1
494,2022-01-05 15:52:50,henryclay@example.net,Chloe Arellano,2133517341,3,012021,7500000,Fully-paid,919,FB,2022-01-05 00:00:00,FB,7500000,,7500000,,1
493,2022-01-05 14:08:01,kenneth07@example.com,Kyle Lyons,877.642.2224x055,3,012021,2000000,Deposit,919,FB,2022-01-05 00:00:00,FB,4500000,,2000000,,1
495,2022-01-05 16:19:24,perezbrandon@example.com,Stephanie Golden,3566369419,2,012021,2500000,Fully-paid,1735,FB,2022-01-05 00:00:00,FB,2500000,,2500000,,5
496,2022-01-06 14:51:09,elizabeth72@example.net,Travis Schultz,356-239-9052x2216,,012021,4000000,Fully-paid,981,FB,2022-01-05 00:00:00,FB,4000000,,4000000,,1
497,2022-01-06 15:26:26,sally83@example.org,Amanda Savage,386.381.1701x9597,,012021,1200000,Fully-paid,981,FB,2022-01-06 00:00:00,FB,1200000,,1200000,,2
498,2022-01-06 19:19:28,lphillips@example.net,Rodney Mccann,(348)983-1300x6002,,012021,3500000,Fully-paid,1593,EV,2022-01-06 00:00:00,FB,3500000,,3500000,,1
499,2022-01-07 08:41:21,frankjohnson@example.net,William Garcia,001-654-566-1779,3,012021,6400000,Fully-paid,1488,FB,2022-01-06 00:00:00,FB,6400000,,6400000,,1
500,2022-01-07 08:43:35,brownjeremiah@example.com,Teresa Browning,650.568.8769x3531,3,012021,6400000,Fully-paid,1488,WOM,2022-01-06 00:00:00,FB,6400000,,6400000,,1
501,2022-01-07 10:31:28,kaitlyn76@example.com,Michelle Morgan,001-802-340-4398x382,2,012021,9600000,Fully-paid,55,GL,2022-01-07 00:00:00,FB,9600000,,9600000,,5
502,2022-01-07 13:55:20,sarahjohnson@example.net,Joseph Jones,001-647-690-6881,,012021,2500000,Deposit,981,FB,2022-01-07 00:00:00,FB,3700000,,2500000,,2
503,2022-01-07 15:03:11,christine46@example.net,Brittney Jackson,001-409-756-0244x1799,,022021,3500000,Fully-paid,1593,FB,2022-01-07 00:00:00,FB,3500000,,3500000,,2
504,2022-01-08 08:48:28,cschultz@example.net,Rachel Klein,(507)320-1750,2,012021,7800000,Fully-paid,981,FB,2022-01-07 00:00:00,FB,7800000,,7800000,,5
505,2022-01-08 09:26:14,watsonamy@example.com,Joseph Goodwin,393.238.9874x5133,3,012021,6400000,Fully-paid,1488,WOM,2022-01-07 00:00:00,FB,6400000,,6400000,,1
506,2022-01-08 10:50:43,cjimenez@example.net,Kyle Freeman,+1-609-629-8936x77701,,012021,2400000,Fully-paid,55,GL,2022-01-08 00:00:00,FB,2400000,,2400000,,2
507,2022-01-08 11:04:57,qguzman@example.com,Shelly Morrison,859.438.9715,3,022021,8200000,Fully-paid,55,OT,2022-01-07 00:00:00,FB,8200000,,8200000,,2
508,2022-01-08 11:22:17,jessica55@example.org,Christopher Hernandez,570.216.6035x09719,3,022021,8200000,Fully-paid,55,GL,2022-01-07 00:00:00,FB,8200000,,8200000,,2
509,2022-01-08 15:45:56,brittany00@example.org,Valerie Lawson,634-315-5377x57025,,012021,4400000,Fully-paid,55,WOM,2022-01-08 00:00:00,FB,4400000,,4400000,,1
512,2022-01-09 12:22:52,kenneth72@example.com,Amy Davidson,907-796-7738,,012021,3500000,Fully-paid,919,FB,2022-01-09 00:00:00,FB,3500000,,3500000,,1
511,2022-01-09 11:13:09,jennyschneider@example.net,Jasmine Williams,599.241.8102x4510,3,012021,5000000,Deposit,1593,FB,2022-01-09 00:00:00,FB,8500000,,5000000,,1
513,2022-01-09 13:15:10,stevensonvanessa@example.com,Marie Montes,4084738101,3,012021,3750000,Deposit,919,FB,2022-01-09 00:00:00,FB,7500000,,3750000,,2
514,2022-01-09 16:41:16,gfisher@example.org,Stephanie Williams,645-892-4789x585,2,012021,4250000,Past due,1593,FB,2022-01-09 00:00:00,FB,8500000,,4250000,,5
515,2022-01-11 10:00:33,jking@example.net,Jennifer Garcia,+1-704-694-1486x87433,,012021,8500000,Fully-paid,1593,FB,2022-01-11 00:00:00,FB,8500000,,8500000,,2
516,2022-01-11 10:58:55,parsonsedward@example.org,Steven Clark,001-828-935-4594,3,012021,8500000,Fully-paid,55,GL,2022-01-10 00:00:00,FB,8500000,,8500000,,2
517,2022-01-11 11:04:02,stewarteddie@example.net,Vincent Cox,613-496-7497,3,012021,8100000,Fully-paid,55,GL,2022-01-11 00:00:00,FB,8100000,,8100000,,2
518,2022-01-11 14:17:25,romerokimberly@example.com,Clinton Watson,6957494111,2,022021,2500000,Fully-paid,981,FB,2022-01-11 00:00:00,FB,2500000,,2500000,,5
519,2022-01-11 15:13:25,bforbes@example.com,Amy Ortiz,(827)570-0825,,022021,3200000,Fully-paid,1593,FB,2022-01-11 00:00:00,FB,3200000,,3200000,,1
520,2022-01-11 16:32:35,fosterdaniel@example.org,Tyler Peterson,795-923-4285,,012021,4500000,Past due,919,FB,2022-01-11 00:00:00,FB,8500000,,4500000,,2
521,2022-01-12 10:31:49,ashleyperez@example.com,Anna Jimenez,537-438-1901x193,3,012021,3500000,Past due,1593,FB,2022-01-12 00:00:00,FB,8500000,,3500000,,1
522,2022-01-12 15:09:42,antonio58@example.com,Seth Chambers,(763)804-9691,,022021,2500000,Fully-paid,64,UP,2022-01-12 00:00:00,FB,2500000,,2500000,,1
523,2022-01-13 12:35:04,wnoble@example.net,Laura Burton,997-274-3577,,012021,3400000,Fully-paid,1593,FB,2022-01-13 00:00:00,FB,3400000,,3400000,,1
524,2022-01-13 13:58:45,smithcarol@example.net,Justin Evans,9286953672,,012021,1900000,Fully-paid,1488,FB,2022-01-13 00:00:00,FB,1900000,,1900000,,1
525,2022-01-13 14:21:16,george70@example.org,Veronica Mcdaniel,333.624.4962x025,3,012021,4000000,Deposit,1593,FB,2022-01-13 00:00:00,FB,8000000,,4000000,,1
526,2022-01-13 17:08:37,ronald83@example.com,Mitchell Cruz,739-968-3204x93439,2,022021,8500000,Fully-paid,919,FB,2022-01-13 00:00:00,TL,8500000,,8500000,,5
527,2022-01-13 22:17:53,fordcurtis@example.com,Dan Mckinney,001-751-538-4480x57648,3,012021,8500000,Fully-paid,1593,FB,2022-01-13 00:00:00,FB,8500000,,8500000,,1
528,2022-01-14 14:04:42,ibrown@example.net,Tina Blevins,(461)618-4449,,122021,4500000,Past due,981,FB,2022-01-14 00:00:00,FB,9000000,,4500000,,2
532,2022-01-14 16:31:00,jennifer94@example.org,Melanie Arellano,3309380283,,012021,3800000,Fully-paid,55,FB,2022-01-14 00:00:00,FB,3800000,,3800000,,1
533,2022-01-14 17:06:10,andersonryan@example.net,Sergio Reed,001-901-427-5268x14301,3,012021,4000000,Deposit,981,FB,2022-01-14 00:00:00,FB,8000000,,4000000,,2
535,2022-01-15 23:30:02,samantha64@example.com,Jeffrey Stark MD,001-418-535-3350,3,022021,4250000,Deposit,1593,FB,2022-01-14 00:00:00,FB,8500000,,4250000,,1
536,2022-01-16 13:16:36,cookkenneth@example.com,Carl Pitts DVM,001-808-595-6632x5215,2,022021,1500000,Deposit,919,UP,2022-01-16 00:00:00,FB,3000000,,1500000,,5
537,2022-01-16 20:52:52,taylorkidd@example.com,Nicholas Wright,611-258-9738x0585,,012021,1000000,Deposit,1593,FB,2022-01-16 00:00:00,FB,8000000,,1000000,,1
538,2022-01-16 21:59:23,kristopher65@example.com,Mark Mitchell,+1-748-588-6896,2,022021,4100000,Deposit,919,FB,2022-01-16 00:00:00,FB,8200000,,4100000,,5
539,2022-01-17 11:39:06,denise52@example.net,Daniel Herman,347-775-0870x90685,,022021,2000000,Fully-paid,55,GL,2022-01-16 00:00:00,FB,2000000,,2000000,,1
540,2022-01-17 12:02:52,ugregory@example.net,Carla Koch,001-302-743-4732x8737,,022021,7500000,Fully-paid,55,GL,2022-01-17 00:00:00,FB,7500000,,7500000,,1
541,2022-01-17 14:09:20,gravesrachel@example.com,Jeremy Swanson,001-610-957-0636x10816,,022021,3300000,Fully-paid,55,GL,2022-01-16 00:00:00,FB,3300000,,3300000,,2
542,2022-01-17 14:14:38,medinaraymond@example.org,Roberto Cooper,(397)503-0028,2,012021,1850000,Fully-paid,919,GL,2022-01-17 00:00:00,FB,3700000,,1850000,,5
543,2022-01-17 14:14:38,gregorymeghan@example.com,James Smith,001-940-552-1979,2,012021,1850000,Fully-paid,55,GL,2022-01-17 00:00:00,FB,3700000,,1850000,,5
544,2022-01-17 15:12:36,dbrown@example.net,Mark Mckinney,(876)714-3918x59932,3,,6000000,Fully-paid,97,GL,2022-01-17 00:00:00,FB,6000000,,6000000,,2
545,2022-01-17 16:17:48,josephrobert@example.org,Robert Blackburn,(959)915-2247,,022021,1300000,Fully-paid,1488,FB,2022-01-17 00:00:00,,1300000,,1300000,,1
546,2022-01-17 17:25:33,yjohnson@example.net,Anthony Nelson,+1-867-830-7396x9659,,012021,4500000,Deposit,919,WOM,2022-01-17 00:00:00,FB,8500000,,4500000,,2
547,2022-01-17 21:38:22,christina73@example.org,Michelle Maldonado,739.380.9068x17447,3,022021,1500000,Fully-paid,919,FB,2022-01-17 00:00:00,FB,1500000,,1500000,,1
548,2022-01-17 22:21:38,wstewart@example.com,Mrs. Brenda Williams,(378)467-5330,,012021,3500000,Fully-paid,919,FB,2022-01-17 00:00:00,TL,3500000,,3500000,,1
549,2022-01-17 22:43:17,campbellmiranda@example.com,Brian Gordon,918-945-1366x68432,,012021,1500000,Fully-paid,1593,FB,2022-01-17 00:00:00,FB,1500000,,1500000,,1
717,2022-02-16 10:02:14,vconner@example.com,Nicole Moore,979-711-8501x749,3,022021,3000000,Deposit,1593,FB,2022-02-11 00:00:00,FB,8500000,,3000000,,1
552,2022-01-18 11:44:56,sheila14@example.net,Dana Lopez,5873775256,,022021,2700000,Fully-paid,55,FB,2022-01-18 00:00:00,FB,2700000,,2700000,,1
553,2022-01-18 13:41:15,tammy52@example.com,Alvin Smith,380-224-4430,,022021,7500000,Fully-paid,55,GL,2022-01-17 00:00:00,FB,7500000,,7500000,,2
554,2022-01-18 13:49:15,zacharyortega@example.org,Keith Reed,(636)361-5462,3,022021,1000000,Past due,55,GL,2022-01-15 00:00:00,FB,4000000,,1000000,,1
555,2022-01-18 13:57:21,mindyanderson@example.net,Charles Hernandez,(418)855-6007,,022021,8000000,Fully-paid,55,GL,2022-01-17 00:00:00,FB,8000000,,8000000,,2
556,2022-01-18 14:23:42,mandy63@example.org,Erin Erickson,333.447.3780x083,3,022021,2000000,Deposit,1593,EV,2022-01-18 00:00:00,FB,5400000,,2000000,,2
557,2022-01-18 17:51:23,hroberts@example.org,Kelly Mckinney,460.576.7157x46493,3,022021,3800000,Fully-paid,55,GL,2022-01-18 00:00:00,FB,3800000,,3800000,,2
563,2022-01-19 08:56:40,ahuff@example.net,Evan Johnson,(423)787-3350,3,022021,3625000,Fully-paid,1593,FB,2022-01-18 00:00:00,FB,7250000,,3625000,,1
564,2022-01-19 08:56:46,mark43@example.com,Nicole Chambers,293.205.7916x30626,3,022021,3625000,Fully-paid,919,FB,2022-01-19 00:00:00,FB,7250000,,3625000,,1
565,2022-01-19 09:34:04,fmason@example.net,Michael Prince,989.369.3474x115,3,022021,3000000,Fully-paid,55,OT,2022-01-17 00:00:00,FB,3000000,,3000000,,1
561,2022-01-18 21:30:09,daviselizabeth@example.com,Donna Johnson,526-790-8643x7241,,022021,4000000,Deposit,1593,FB,2022-01-18 00:00:00,FB,8000000,,4000000,,1
562,2022-01-18 21:58:07,santosdebbie@example.org,Heather Martin,263.297.4096x7164,,022021,3000000,Fully-paid,1593,FB,2022-01-18 00:00:00,TL,3000000,,3000000,,2
566,2022-01-19 09:40:45,schroederwilliam@example.com,Brittany Hernandez,430-436-6002x01239,,022021,3000000,Fully-paid,919,FB,2022-01-19 00:00:00,FB,3000000,,3000000,,2
567,2022-01-19 11:21:41,ernest79@example.com,Jeffrey Ruiz,001-821-645-0322,3,012021,3100000,Fully-paid,1488,OT,2022-01-18 00:00:00,FB,3100000,,3100000,,1
